device=gpu kind=NVIDIA A100-SXM4-40GB
loading datasets...
train=(4096, 64, 64, 3), val=(512, 64, 64, 3)
=== RGB E2E CNN Experiment ===
train_npz=/lustre06/project/6102186/liamfitz/fouriax/experiments/data/cartoon_faces_nx64_shards
valid_npz=/lustre06/project/6102186/liamfitz/fouriax/experiments/data/cartoon_faces_nx64_shards
grids: sensor=64x64 @ 0.60 um, meta/field=64x64 @ 0.60 um
wavelengths_um=[1.3       1.1304348 1.       ]
epochs=50, batch_size=64, optical_lr=5.00e-03, decoder_lr=1.00e-03
optimizing...
  batch=016/064 train_loss=0.011419 batch_time=0.13s elapsed=102.64s
  batch=017/064 train_loss=0.011956 batch_time=0.13s elapsed=102.76s
  batch=018/064 train_loss=0.011598 batch_time=0.13s elapsed=102.89s
  batch=019/064 train_loss=0.010745 batch_time=0.12s elapsed=103.01s
  batch=020/064 train_loss=0.010177 batch_time=0.13s elapsed=103.14s
  batch=021/064 train_loss=0.011283 batch_time=0.13s elapsed=103.27s
  batch=022/064 train_loss=0.010753 batch_time=0.13s elapsed=103.39s
  batch=023/064 train_loss=0.009716 batch_time=0.13s elapsed=103.52s
  batch=024/064 train_loss=0.010034 batch_time=0.13s elapsed=103.64s
  batch=025/064 train_loss=0.009815 batch_time=0.13s elapsed=103.77s
  batch=026/064 train_loss=0.009319 batch_time=0.13s elapsed=103.90s
  batch=027/064 train_loss=0.008516 batch_time=0.13s elapsed=104.02s
  batch=028/064 train_loss=0.008811 batch_time=0.13s elapsed=104.15s
  batch=029/064 train_loss=0.009512 batch_time=0.13s elapsed=104.28s
  batch=030/064 train_loss=0.008887 batch_time=0.13s elapsed=104.40s
  batch=031/064 train_loss=0.009167 batch_time=0.13s elapsed=104.53s
  batch=032/064 train_loss=0.009614 batch_time=0.13s elapsed=104.65s
  batch=033/064 train_loss=0.010048 batch_time=0.13s elapsed=104.78s
  batch=034/064 train_loss=0.010403 batch_time=0.13s elapsed=104.90s
  batch=035/064 train_loss=0.010420 batch_time=0.13s elapsed=105.03s
  batch=036/064 train_loss=0.008845 batch_time=0.13s elapsed=105.16s
  batch=037/064 train_loss=0.009975 batch_time=0.13s elapsed=105.28s
  batch=038/064 train_loss=0.008566 batch_time=0.13s elapsed=105.41s
  batch=039/064 train_loss=0.008247 batch_time=0.13s elapsed=105.53s
  batch=040/064 train_loss=0.008701 batch_time=0.13s elapsed=105.66s
  batch=041/064 train_loss=0.008287 batch_time=0.13s elapsed=105.79s
  batch=042/064 train_loss=0.008310 batch_time=0.13s elapsed=105.91s
  batch=043/064 train_loss=0.008384 batch_time=0.13s elapsed=106.04s
  batch=044/064 train_loss=0.008142 batch_time=0.13s elapsed=106.17s
  batch=045/064 train_loss=0.008984 batch_time=0.13s elapsed=106.29s
  batch=046/064 train_loss=0.010278 batch_time=0.13s elapsed=106.42s
  batch=047/064 train_loss=0.007921 batch_time=0.13s elapsed=106.54s
  batch=048/064 train_loss=0.009045 batch_time=0.13s elapsed=106.67s
  batch=049/064 train_loss=0.008802 batch_time=0.13s elapsed=106.79s
  batch=050/064 train_loss=0.007646 batch_time=0.13s elapsed=106.92s
  batch=051/064 train_loss=0.007214 batch_time=0.13s elapsed=107.05s
  batch=052/064 train_loss=0.008308 batch_time=0.13s elapsed=107.17s
  batch=053/064 train_loss=0.008843 batch_time=0.13s elapsed=107.30s
  batch=054/064 train_loss=0.008879 batch_time=0.13s elapsed=107.42s
  batch=055/064 train_loss=0.007652 batch_time=0.13s elapsed=107.55s
  batch=056/064 train_loss=0.007997 batch_time=0.13s elapsed=107.68s
  batch=057/064 train_loss=0.007660 batch_time=0.13s elapsed=107.80s
  batch=058/064 train_loss=0.008322 batch_time=0.13s elapsed=107.93s
  batch=059/064 train_loss=0.007849 batch_time=0.13s elapsed=108.05s
  batch=060/064 train_loss=0.008100 batch_time=0.14s elapsed=108.19s
  batch=061/064 train_loss=0.007141 batch_time=0.13s elapsed=108.32s
  batch=062/064 train_loss=0.007623 batch_time=0.13s elapsed=108.45s
  batch=063/064 train_loss=0.007470 batch_time=0.13s elapsed=108.57s
  batch=064/064 train_loss=0.006766 batch_time=0.13s elapsed=108.70s
->epoch=003/050 val_loss=0.007342 train_loss=0.006766 epoch_time=8.80s elapsed=109.42s [best]
epoch=004/050 batches=64 elapsed=109.42s
  batch=001/064 train_loss=0.007953 batch_time=0.13s elapsed=109.55s
  batch=002/064 train_loss=0.006597 batch_time=0.13s elapsed=109.67s
  batch=003/064 train_loss=0.006510 batch_time=0.13s elapsed=109.80s
  batch=004/064 train_loss=0.006517 batch_time=0.13s elapsed=109.93s
  batch=005/064 train_loss=0.008214 batch_time=0.13s elapsed=110.05s
  batch=006/064 train_loss=0.007480 batch_time=0.13s elapsed=110.18s
  batch=007/064 train_loss=0.007454 batch_time=0.13s elapsed=110.30s
  batch=008/064 train_loss=0.006610 batch_time=0.13s elapsed=110.43s
  batch=009/064 train_loss=0.007049 batch_time=0.13s elapsed=110.56s
  batch=010/064 train_loss=0.005973 batch_time=0.13s elapsed=110.68s
  batch=011/064 train_loss=0.006502 batch_time=0.13s elapsed=110.81s
  batch=012/064 train_loss=0.006971 batch_time=0.13s elapsed=110.93s
  batch=013/064 train_loss=0.006690 batch_time=0.13s elapsed=111.06s
  batch=014/064 train_loss=0.006349 batch_time=0.13s elapsed=111.19s
  batch=015/064 train_loss=0.006488 batch_time=0.13s elapsed=111.31s
  batch=016/064 train_loss=0.005993 batch_time=0.13s elapsed=111.44s
  batch=017/064 train_loss=0.005911 batch_time=0.13s elapsed=111.56s
  batch=018/064 train_loss=0.006609 batch_time=0.13s elapsed=111.69s
  batch=019/064 train_loss=0.006414 batch_time=0.13s elapsed=111.82s
  batch=020/064 train_loss=0.006849 batch_time=0.13s elapsed=111.94s
  batch=021/064 train_loss=0.006474 batch_time=0.13s elapsed=112.07s
  batch=022/064 train_loss=0.006870 batch_time=0.12s elapsed=112.19s
  batch=023/064 train_loss=0.006457 batch_time=0.13s elapsed=112.32s
  batch=024/064 train_loss=0.006818 batch_time=0.13s elapsed=112.44s
  batch=025/064 train_loss=0.007142 batch_time=0.13s elapsed=112.57s
  batch=026/064 train_loss=0.006593 batch_time=0.13s elapsed=112.70s
  batch=027/064 train_loss=0.005943 batch_time=0.13s elapsed=112.82s
  batch=028/064 train_loss=0.006822 batch_time=0.13s elapsed=112.95s
  batch=029/064 train_loss=0.006448 batch_time=0.13s elapsed=113.07s
  batch=030/064 train_loss=0.006614 batch_time=0.13s elapsed=113.20s
  batch=031/064 train_loss=0.006132 batch_time=0.13s elapsed=113.33s
  batch=032/064 train_loss=0.006536 batch_time=0.13s elapsed=113.45s
  batch=033/064 train_loss=0.005779 batch_time=0.13s elapsed=113.58s
  batch=034/064 train_loss=0.006433 batch_time=0.13s elapsed=113.70s
  batch=035/064 train_loss=0.005750 batch_time=0.13s elapsed=113.83s
  batch=036/064 train_loss=0.005930 batch_time=0.13s elapsed=113.95s
  batch=037/064 train_loss=0.005870 batch_time=0.13s elapsed=114.08s
  batch=038/064 train_loss=0.005511 batch_time=0.13s elapsed=114.21s
  batch=039/064 train_loss=0.005884 batch_time=0.13s elapsed=114.33s
  batch=040/064 train_loss=0.005715 batch_time=0.13s elapsed=114.46s
  batch=041/064 train_loss=0.006444 batch_time=0.13s elapsed=114.58s
  batch=042/064 train_loss=0.005933 batch_time=0.13s elapsed=114.71s
  batch=043/064 train_loss=0.006013 batch_time=0.13s elapsed=114.84s
  batch=044/064 train_loss=0.005857 batch_time=0.13s elapsed=114.97s
  batch=045/064 train_loss=0.006425 batch_time=0.13s elapsed=115.09s
  batch=046/064 train_loss=0.005271 batch_time=0.13s elapsed=115.22s
  batch=047/064 train_loss=0.006044 batch_time=0.13s elapsed=115.34s
  batch=048/064 train_loss=0.005877 batch_time=0.12s elapsed=115.47s
  batch=049/064 train_loss=0.005044 batch_time=0.13s elapsed=115.59s
  batch=050/064 train_loss=0.005855 batch_time=0.13s elapsed=115.72s
  batch=051/064 train_loss=0.005503 batch_time=0.13s elapsed=115.85s
  batch=052/064 train_loss=0.006151 batch_time=0.13s elapsed=115.97s
  batch=053/064 train_loss=0.005312 batch_time=0.13s elapsed=116.10s
  batch=054/064 train_loss=0.005298 batch_time=0.13s elapsed=116.22s
  batch=055/064 train_loss=0.005615 batch_time=0.13s elapsed=116.35s
  batch=056/064 train_loss=0.005495 batch_time=0.13s elapsed=116.48s
  batch=057/064 train_loss=0.005155 batch_time=0.13s elapsed=116.60s
  batch=058/064 train_loss=0.005264 batch_time=0.13s elapsed=116.73s
  batch=059/064 train_loss=0.005576 batch_time=0.13s elapsed=116.85s
  batch=060/064 train_loss=0.005411 batch_time=0.13s elapsed=116.98s
  batch=061/064 train_loss=0.005788 batch_time=0.13s elapsed=117.10s
  batch=062/064 train_loss=0.005710 batch_time=0.13s elapsed=117.23s
  batch=063/064 train_loss=0.005515 batch_time=0.13s elapsed=117.36s
  batch=064/064 train_loss=0.005647 batch_time=0.13s elapsed=117.49s
->epoch=004/050 val_loss=0.005507 train_loss=0.005647 epoch_time=8.80s elapsed=118.22s [best]
epoch=005/050 batches=64 elapsed=118.22s
  batch=001/064 train_loss=0.005374 batch_time=0.13s elapsed=118.35s
  batch=002/064 train_loss=0.005193 batch_time=0.13s elapsed=118.47s
  batch=003/064 train_loss=0.005755 batch_time=0.13s elapsed=118.60s
  batch=004/064 train_loss=0.005707 batch_time=0.13s elapsed=118.72s
  batch=005/064 train_loss=0.005830 batch_time=0.13s elapsed=118.85s
  batch=006/064 train_loss=0.005592 batch_time=0.13s elapsed=118.98s
  batch=007/064 train_loss=0.005381 batch_time=0.13s elapsed=119.10s
  batch=008/064 train_loss=0.005209 batch_time=0.13s elapsed=119.23s
  batch=009/064 train_loss=0.005052 batch_time=0.13s elapsed=119.36s
  batch=010/064 train_loss=0.005118 batch_time=0.13s elapsed=119.48s
  batch=011/064 train_loss=0.005240 batch_time=0.13s elapsed=119.61s
  batch=012/064 train_loss=0.005441 batch_time=0.13s elapsed=119.73s
  batch=013/064 train_loss=0.005273 batch_time=0.13s elapsed=119.86s
  batch=014/064 train_loss=0.005557 batch_time=0.13s elapsed=119.99s
  batch=015/064 train_loss=0.005572 batch_time=0.13s elapsed=120.11s
  batch=016/064 train_loss=0.005082 batch_time=0.13s elapsed=120.24s
  batch=017/064 train_loss=0.005178 batch_time=0.13s elapsed=120.36s
  batch=018/064 train_loss=0.005274 batch_time=0.13s elapsed=120.49s
  batch=019/064 train_loss=0.005439 batch_time=0.13s elapsed=120.62s
  batch=020/064 train_loss=0.004915 batch_time=0.13s elapsed=120.74s
  batch=021/064 train_loss=0.005095 batch_time=0.13s elapsed=120.87s
  batch=022/064 train_loss=0.005006 batch_time=0.13s elapsed=120.99s
  batch=023/064 train_loss=0.004928 batch_time=0.13s elapsed=121.12s
  batch=024/064 train_loss=0.004927 batch_time=0.13s elapsed=121.25s
  batch=025/064 train_loss=0.004793 batch_time=0.13s elapsed=121.37s
  batch=026/064 train_loss=0.005009 batch_time=0.13s elapsed=121.50s
  batch=027/064 train_loss=0.005696 batch_time=0.13s elapsed=121.62s
  batch=028/064 train_loss=0.005278 batch_time=0.13s elapsed=121.75s
  batch=029/064 train_loss=0.004998 batch_time=0.12s elapsed=121.88s
  batch=030/064 train_loss=0.004939 batch_time=0.13s elapsed=122.00s
  batch=031/064 train_loss=0.004866 batch_time=0.13s elapsed=122.13s
  batch=032/064 train_loss=0.004711 batch_time=0.13s elapsed=122.25s
  batch=033/064 train_loss=0.005300 batch_time=0.13s elapsed=122.38s
  batch=034/064 train_loss=0.005154 batch_time=0.13s elapsed=122.50s
  batch=035/064 train_loss=0.004675 batch_time=0.13s elapsed=122.63s
  batch=036/064 train_loss=0.005158 batch_time=0.13s elapsed=122.76s
  batch=037/064 train_loss=0.004854 batch_time=0.13s elapsed=122.88s
  batch=038/064 train_loss=0.004943 batch_time=0.13s elapsed=123.01s
  batch=039/064 train_loss=0.005339 batch_time=0.13s elapsed=123.13s
  batch=040/064 train_loss=0.004920 batch_time=0.13s elapsed=123.26s
  batch=041/064 train_loss=0.004896 batch_time=0.13s elapsed=123.39s
  batch=042/064 train_loss=0.004814 batch_time=0.13s elapsed=123.51s
  batch=043/064 train_loss=0.004783 batch_time=0.13s elapsed=123.64s
  batch=044/064 train_loss=0.004977 batch_time=0.13s elapsed=123.76s
  batch=045/064 train_loss=0.004739 batch_time=0.13s elapsed=123.89s
  batch=046/064 train_loss=0.004552 batch_time=0.13s elapsed=124.01s
  batch=047/064 train_loss=0.004892 batch_time=0.13s elapsed=124.14s
  batch=048/064 train_loss=0.004124 batch_time=0.13s elapsed=124.27s
  batch=049/064 train_loss=0.004617 batch_time=0.13s elapsed=124.39s
  batch=050/064 train_loss=0.004141 batch_time=0.13s elapsed=124.52s
  batch=051/064 train_loss=0.004249 batch_time=0.13s elapsed=124.64s
  batch=052/064 train_loss=0.004203 batch_time=0.13s elapsed=124.77s
  batch=053/064 train_loss=0.004784 batch_time=0.13s elapsed=124.90s
  batch=054/064 train_loss=0.004236 batch_time=0.13s elapsed=125.02s
  batch=055/064 train_loss=0.004844 batch_time=0.13s elapsed=125.15s
  batch=056/064 train_loss=0.004456 batch_time=0.13s elapsed=125.27s
  batch=057/064 train_loss=0.004844 batch_time=0.13s elapsed=125.40s
  batch=058/064 train_loss=0.004286 batch_time=0.13s elapsed=125.53s
  batch=059/064 train_loss=0.004632 batch_time=0.13s elapsed=125.65s
  batch=060/064 train_loss=0.004723 batch_time=0.13s elapsed=125.78s
  batch=061/064 train_loss=0.004489 batch_time=0.13s elapsed=125.91s
  batch=062/064 train_loss=0.004600 batch_time=0.13s elapsed=126.03s
  batch=063/064 train_loss=0.004023 batch_time=0.13s elapsed=126.16s
  batch=064/064 train_loss=0.004119 batch_time=0.13s elapsed=126.28s
->epoch=005/050 val_loss=0.004538 train_loss=0.004119 epoch_time=8.78s elapsed=127.00s [best]
epoch=006/050 batches=64 elapsed=127.00s
  batch=001/064 train_loss=0.004522 batch_time=0.13s elapsed=127.13s
  batch=002/064 train_loss=0.004476 batch_time=0.13s elapsed=127.26s
  batch=003/064 train_loss=0.004824 batch_time=0.13s elapsed=127.38s
  batch=004/064 train_loss=0.004545 batch_time=0.13s elapsed=127.51s
  batch=005/064 train_loss=0.004531 batch_time=0.13s elapsed=127.63s
  batch=006/064 train_loss=0.004036 batch_time=0.13s elapsed=127.76s
  batch=007/064 train_loss=0.004240 batch_time=0.13s elapsed=127.89s
  batch=008/064 train_loss=0.004567 batch_time=0.13s elapsed=128.01s
  batch=009/064 train_loss=0.004106 batch_time=0.13s elapsed=128.14s
  batch=010/064 train_loss=0.004265 batch_time=0.13s elapsed=128.27s
  batch=011/064 train_loss=0.004546 batch_time=0.13s elapsed=128.39s
  batch=012/064 train_loss=0.004099 batch_time=0.13s elapsed=128.52s
  batch=013/064 train_loss=0.004402 batch_time=0.13s elapsed=128.64s
  batch=014/064 train_loss=0.003878 batch_time=0.12s elapsed=128.77s
  batch=015/064 train_loss=0.004440 batch_time=0.13s elapsed=128.89s
  batch=016/064 train_loss=0.004063 batch_time=0.13s elapsed=129.02s
